username,password,type,watchlist,history
alice,111,BasicUser,M008;M015;M071;M048;M056;M001;M002;M005;M004,M015@2025-09-01;M011@2025-08-10;M001@2025-07-12
bob,222,BasicUser,M041;M042;M043;M044,M042@2025-07-31;M041@2025-07-02;M040@2025-06-21
charlie,333,BasicUser,M063;M064;M065;M066,M064@2025-09-03;M080@2025-08-08;M063@2025-05-14
diana,444,BasicUser,M076;M077;M078,M098@2025-09-10;M076@2025-08-22;M029@2025-04-20
eric,555,BasicUser,M091;M092;M093;M094,M099@2025-09-12;M096@2025-08-12;M091@2025-07-19
zxz,666,BasicUser,M061,M005@2025-12-02;M004@2025-12-02;M010@2025-11-29;M002@2025-11-29;M006@2025-11-29;M003@2025-11-29;M061@2025-11-29
CPT,777,BasicUser,M005;M006;M092;M056;M061;M009,M001@2025-11-24;M010@2025-11-24;M007@2025-11-24;M078@2025-11-24
Try,888,BasicUser,,
zxz2,999,BasicUser,M002;M004;M003;M006,M001@2025-11-29;M002@2025-11-29;M001@2025-11-29;M005@2025-11-29
zxz3,666,BasicUser,M008;M007,M001@2025-11-30;M004@2025-11-30;M005@2025-11-30
zxz4,CUST$0d76ef,PremiumUser,M006;M005;M007,M001@2025-11-30;M002@2025-11-30
zzzz,CUST$81fe1,PremiumUser,M001;M006,M003@2025-12-02;M004@2025-12-02
hi,123,BasicUser,,
cpt,123,BasicUser,BasicUser,
45,45,BasicUser,M003;M005,M003@2025-12-13;M001@2025-12-13;M002@2025-12-03;M004@2025-12-03;M001@2025-12-03;M003@2025-12-03;M005@2025-12-03;M006@2025-12-03
123,CUST$1b66ac8b9e12,PremiumUser,,
zxz5,,BasicUser,,
12334,CUST$edbbec5424,PremiumUser,M002;M003,M001@2025-12-13
steven,s12345,BasicUser,M005,M005@2025-10-10
laura,CUST$a1b2c3,PremiumUser,M015;M016,M015@2025-09-20;M016@2025-09-21
kevin,k_pass,BasicUser,,
rachel,rachel1,BasicUser,M025;M026,M025@2025-08-15
thomas,CUST$x9y8z7,PremiumUser,M035,M035@2025-11-11;M036@2025-11-12
maria,m_123,BasicUser,M001,M002@2025-07-01
james,j_pass,BasicUser,M099,M099@2025-12-05
linda,CUST$4d5e6f,PremiumUser,,
peter,p_safe,BasicUser,M010,M010@2025-06-15
susan,s_q_1,BasicUser,M055;M056,M055@2025-05-20
0,0,BasicUser,,
 ,space_pass,BasicUser,,
!@#$%^&*,symbols_pass,BasicUser,M001,M001@2025-12-14
日本語用户,unicode_pass,PremiumUser,,
Robert'); DROP TABLE Students;--,sql_inject_attempt,BasicUser,,
null,null,BasicUser,,
undefined,NaN,BasicUser,,
very_long_username_that_might_break_ui_layout_display_12345,short,BasicUser,,
no_history_man,pass,BasicUser,M001;M002;M003;M004;M005;M006;M007;M008;M009;M010;M011;M012;M013;M014;M015,
future_traveller,88mph,PremiumUser,,M999@2099-12-31
